degree,ccdf
0,1.0
1,0.9022651157765854
2,0.814217292664482
3,0.7438870683135871
4,0.6842162123230942
5,0.633692246749973
6,0.5878137491447297
7,0.5456804350174655
8,0.5063920198782815
9,0.4714249702906118
10,0.44085130901364833
11,0.4124743418920379
12,0.3847095682235586
13,0.3612661601065937
14,0.33818286578558826
15,0.31574777629730993
16,0.29579747200115236
17,0.27707155461125715
18,0.2589938420540891
19,0.2410241636357089
20,0.22553927040944938
21,0.21077460477510893
22,0.19640606431632396
23,0.18261370593107423
24,0.17036983686845042
25,0.15945838885087688
26,0.14746659944542476
27,0.1372393676401743
28,0.12823652274118622
29,0.1194137347401779
30,0.11059094673916958
31,0.10191220425654507
32,0.09525009903129389
33,0.08833591414887104
34,0.08257409341351868
35,0.07659620440059059
36,0.0707623609060463
37,0.06539666534624941
38,0.06053512910079585
39,0.05653786596564515
40,0.05243256869170658
41,0.048687385213727535
42,0.04515827001332421
43,0.04188123447009255
44,0.03892830134322446
45,0.03619143649393208
46,0.03395873095898304
47,0.031942093701609706
48,0.029853433685044475
49,0.028016853325650907
50,0.026288307105045195
51,0.02463178364363139
52,0.023047282941409484
53,0.021642839137167344
54,0.02045446361050092
55,0.019266088083834492
56,0.017933667038784257
57,0.016817314271309735
58,0.015628938744643307
59,0.014368540458784976
60,0.013540278728078073
61,0.01303611941373474
62,0.012676005617775217
63,0.01209982354423998
64,0.011271561813533077
65,0.010659368360401888
66,0.010047174907270697
67,0.009507004213331413
68,0.00900284489898808
69,0.008606719723432604
70,0.008174583168281176
71,0.007670423853937844
72,0.007202275919190464
73,0.00698620764161475
74,0.006590082466059275
75,0.0063380028088876085
76,0.00604991177211999
77,0.005905866253736181
78,0.005617775216968562
79,0.005365695559796896
80,0.005149627282221182
81,0.004933559004645468
82,0.004789513486261659
83,0.004609456588281897
84,0.004393388310706183
85,0.0042133314127264215
86,0.004141308653534517
87,0.003961251755554755
88,0.003925240375958803
89,0.003817206237170946
90,0.0036731607187871365
91,0.003493103820807375
92,0.0034210810616154704
93,0.0033850696820195182
95,0.0032050127840397564
96,0.0030969786452518995
97,0.0029889445064640425
98,0.002916921747272138
99,0.0028809103676761855
100,0.0027368648492923763
101,0.002700853469696424
102,0.0026288307105045193
103,0.002592819330908567
104,0.002556807951312615
106,0.0024127624329288054
107,0.002268716914544996
108,0.002232705534949044
109,0.0021606827757571392
112,0.0020886600165652344
115,0.0020526486369692822
120,0.0019806258777773774
121,0.001908603118585473
122,0.0017645576002016637
123,0.0016925348410097591
124,0.0016565234614138067
125,0.0016205120818178545
126,0.0015845007022219021
134,0.0015124779430299975
135,0.0014044438042421406
136,0.0013684324246461882
139,0.001332421045050236
142,0.0012964096654542836
143,0.0012603982858583312
146,0.001224386906262379
149,0.0011883755266664266
154,0.0011523641470704742
156,0.0010443300082826172
157,0.001008318628686665
158,0.0009723072490907126
159,0.0009362958694947603
160,0.000900284489898808
165,0.0008642731103028558
167,0.0008282617307069034
169,0.0007922503511109511
170,0.0007562389715149988
175,0.0007202275919190464
177,0.0006842162123230941
180,0.0006482048327271418
181,0.0006121934531311895
198,0.0005761820735352371
200,0.0005401706939392848
201,0.0005041593143433325
207,0.00046814793474738017
211,0.0004321365551514279
212,0.00039612517555547553
214,0.0003601137959595232
216,0.0003241024163635709
226,0.00028809103676761855
246,0.00025207965717166626
263,0.00021606827757571394
274,0.0001800568979797616
289,0.00014404551838380927
302,0.00010803413878785697
359,7.202275919190464e-05
562,3.601137959595232e-05
