degree,count,probability
0,4593,0.165400266484209
1,3787,0.13637509452987143
2,2699,0.09719471352947531
3,1994,0.07180669091432892
4,1638,0.058986639778169904
5,1327,0.04778710072382873
6,1138,0.04098094998019374
7,901,0.03244625301595304
8,824,0.029673376787064713
9,690,0.0248478519212071
10,591,0.02128272534120782
11,527,0.018977997047066875
12,483,0.01739349634484497
13,447,0.016097086679390686
14,409,0.014728654254744499
15,322,0.011595664229896647
16,293,0.01055133422161403
17,274,0.009867118009290935
18,278,0.010011163527674746
19,250,0.00900284489898808
20,222,0.007994526270301415
21,185,0.0066621052252511795
22,185,0.0066621052252511795
23,162,0.005833843494544276
24,160,0.005761820735352371
25,136,0.004897547625049516
26,128,0.004609456588281897
27,126,0.004537433829089992
28,138,0.00496957038424142
29,121,0.004357376931110231
30,125,0.00450142244949404
31,88,0.0031690014044438043
32,100,0.003601137959595232
33,88,0.0031690014044438043
34,68,0.002448773812524758
35,86,0.0030969786452518995
36,66,0.002376751053332853
37,82,0.0029529331268680903
38,75,0.002700853469696424
39,66,0.002376751053332853
40,52,0.0018725917389895207
41,72,0.002592819330908567
42,53,0.001908603118585473
43,69,0.00248478519212071
44,50,0.001800568979797616
45,56,0.00201663725737333
46,52,0.0018725917389895207
47,44,0.0015845007022219021
48,29,0.0010443300082826172
49,48,0.0017285462206057115
50,34,0.001224386906262379
51,33,0.0011883755266664266
52,32,0.0011523641470704742
53,31,0.001116352767474522
54,33,0.0011883755266664266
55,29,0.0010443300082826172
56,35,0.0012603982858583312
57,29,0.0010443300082826172
58,27,0.0009723072490907126
59,29,0.0010443300082826172
60,25,0.000900284489898808
61,25,0.000900284489898808
62,28,0.001008318628686665
63,23,0.0008282617307069034
64,26,0.0009362958694947603
65,23,0.0008282617307069034
66,21,0.0007562389715149988
67,23,0.0008282617307069034
68,24,0.0008642731103028558
69,19,0.0006842162123230941
70,22,0.0007922503511109511
71,21,0.0007562389715149988
72,10,0.0003601137959595232
73,17,0.0006121934531311895
74,13,0.00046814793474738017
75,19,0.0006842162123230941
76,18,0.0006482048327271418
77,15,0.0005401706939392848
78,8,0.00028809103676761855
79,24,0.0008642731103028558
80,9,0.0003241024163635709
81,12,0.0004321365551514279
82,15,0.0005401706939392848
83,8,0.00028809103676761855
84,11,0.00039612517555547553
85,14,0.0005041593143433325
86,7,0.00025207965717166626
87,13,0.00046814793474738017
88,10,0.0003601137959595232
89,14,0.0005041593143433325
90,6,0.00021606827757571394
91,7,0.00025207965717166626
92,10,0.0003601137959595232
93,5,0.0001800568979797616
94,17,0.0006121934531311895
95,10,0.0003601137959595232
96,10,0.0003601137959595232
97,10,0.0003601137959595232
98,4,0.00014404551838380927
99,9,0.0003241024163635709
100,7,0.00025207965717166626
101,9,0.0003241024163635709
102,9,0.0003241024163635709
103,4,0.00014404551838380927
104,6,0.00021606827757571394
105,8,0.00028809103676761855
106,10,0.0003601137959595232
107,8,0.00028809103676761855
108,6,0.00021606827757571394
109,8,0.00028809103676761855
110,5,0.0001800568979797616
111,5,0.0001800568979797616
112,3,0.00010803413878785697
113,9,0.0003241024163635709
114,8,0.00028809103676761855
115,5,0.0001800568979797616
116,6,0.00021606827757571394
117,3,0.00010803413878785697
118,8,0.00028809103676761855
119,5,0.0001800568979797616
120,2,7.202275919190464e-05
121,5,0.0001800568979797616
122,3,0.00010803413878785697
123,4,0.00014404551838380927
124,6,0.00021606827757571394
125,5,0.0001800568979797616
126,5,0.0001800568979797616
127,2,7.202275919190464e-05
129,5,0.0001800568979797616
130,1,3.601137959595232e-05
131,4,0.00014404551838380927
132,1,3.601137959595232e-05
133,6,0.00021606827757571394
134,3,0.00010803413878785697
135,1,3.601137959595232e-05
136,6,0.00021606827757571394
137,3,0.00010803413878785697
138,3,0.00010803413878785697
139,4,0.00014404551838380927
140,1,3.601137959595232e-05
141,4,0.00014404551838380927
142,6,0.00021606827757571394
143,3,0.00010803413878785697
144,5,0.0001800568979797616
145,3,0.00010803413878785697
146,3,0.00010803413878785697
147,1,3.601137959595232e-05
148,6,0.00021606827757571394
149,4,0.00014404551838380927
150,4,0.00014404551838380927
151,5,0.0001800568979797616
152,2,7.202275919190464e-05
153,3,0.00010803413878785697
154,4,0.00014404551838380927
155,4,0.00014404551838380927
156,2,7.202275919190464e-05
157,4,0.00014404551838380927
158,3,0.00010803413878785697
159,5,0.0001800568979797616
160,1,3.601137959595232e-05
162,2,7.202275919190464e-05
164,3,0.00010803413878785697
165,1,3.601137959595232e-05
167,2,7.202275919190464e-05
168,1,3.601137959595232e-05
169,2,7.202275919190464e-05
171,2,7.202275919190464e-05
172,6,0.00021606827757571394
173,2,7.202275919190464e-05
174,2,7.202275919190464e-05
175,1,3.601137959595232e-05
176,2,7.202275919190464e-05
177,2,7.202275919190464e-05
178,2,7.202275919190464e-05
179,2,7.202275919190464e-05
180,1,3.601137959595232e-05
181,1,3.601137959595232e-05
182,1,3.601137959595232e-05
183,1,3.601137959595232e-05
184,1,3.601137959595232e-05
185,1,3.601137959595232e-05
186,3,0.00010803413878785697
187,1,3.601137959595232e-05
188,2,7.202275919190464e-05
189,1,3.601137959595232e-05
190,3,0.00010803413878785697
191,2,7.202275919190464e-05
192,2,7.202275919190464e-05
193,2,7.202275919190464e-05
194,2,7.202275919190464e-05
196,3,0.00010803413878785697
197,2,7.202275919190464e-05
198,1,3.601137959595232e-05
199,1,3.601137959595232e-05
201,3,0.00010803413878785697
204,3,0.00010803413878785697
205,4,0.00014404551838380927
208,2,7.202275919190464e-05
211,1,3.601137959595232e-05
212,1,3.601137959595232e-05
213,1,3.601137959595232e-05
214,1,3.601137959595232e-05
217,1,3.601137959595232e-05
219,1,3.601137959595232e-05
220,2,7.202275919190464e-05
222,2,7.202275919190464e-05
223,4,0.00014404551838380927
224,1,3.601137959595232e-05
225,1,3.601137959595232e-05
228,2,7.202275919190464e-05
229,3,0.00010803413878785697
230,2,7.202275919190464e-05
232,3,0.00010803413878785697
233,2,7.202275919190464e-05
235,1,3.601137959595232e-05
240,1,3.601137959595232e-05
242,2,7.202275919190464e-05
244,1,3.601137959595232e-05
247,2,7.202275919190464e-05
251,1,3.601137959595232e-05
252,1,3.601137959595232e-05
257,2,7.202275919190464e-05
264,1,3.601137959595232e-05
265,1,3.601137959595232e-05
268,1,3.601137959595232e-05
273,1,3.601137959595232e-05
274,1,3.601137959595232e-05
282,2,7.202275919190464e-05
290,1,3.601137959595232e-05
295,1,3.601137959595232e-05
297,1,3.601137959595232e-05
301,3,0.00010803413878785697
304,1,3.601137959595232e-05
308,1,3.601137959595232e-05
314,1,3.601137959595232e-05
315,1,3.601137959595232e-05
325,2,7.202275919190464e-05
327,2,7.202275919190464e-05
328,2,7.202275919190464e-05
329,2,7.202275919190464e-05
331,1,3.601137959595232e-05
333,1,3.601137959595232e-05
337,1,3.601137959595232e-05
340,1,3.601137959595232e-05
341,1,3.601137959595232e-05
